WKT,nama,deskripsi
"POLYGON ((110.0260331 -7.8900401, 110.3405167 -8.0260466, 110.3432633 -8.0518828, 110.7126786 -8.2014278, 110.7401444 -8.1987093, 110.7813431 -8.1932722, 110.828035 -8.202787, 110.8321549 -8.1796792, 110.8211686 -8.1674452, 110.8170487 -8.1361786, 110.8005692 -8.1647264, 110.7840897 -8.1538513, 110.7882096 -8.1307407, 110.7785965 -8.0709189, 110.752504 -8.0328458, 110.7676102 -7.9893293, 110.7662369 -7.9090837, 110.7840897 -7.8737163, 110.7840897 -7.824741, 110.7717301 -7.8097752, 110.7607437 -7.8261015, 110.7305313 -7.7988906, 110.7140519 -7.79753, 110.6810929 -7.8070541, 110.6701065 -7.7880058, 110.653627 -7.8002512, 110.6096817 -7.7961694, 110.5986954 -7.8056935, 110.5767228 -7.8097752, 110.5835892 -7.7866451, 110.5602433 -7.7839239, 110.5300309 -7.7920876, 110.492952 -7.7675959, 110.4654862 -7.6110876, 110.4435135 -7.5430226, 110.3061844 -7.6560046, 110.2704789 -7.7077213, 110.2594925 -7.6859466, 110.2677323 -7.6682538, 110.2567459 -7.6423938, 110.2402665 -7.6519214, 110.2141739 -7.6505603, 110.1949479 -7.6410328, 110.1427628 -7.6478382, 110.1166703 -7.6709758, 110.1372696 -7.6954732, 110.1125504 -7.7771206, 110.0631119 -7.8152174, 110.0260331 -7.8900401))",DI YOGYAKARTA,
"POINT (106.7942405 -6.4024844)",Kota Depok,
